Stock Symbol,Market Cap,P/E Ratio,EPS,Yield
SRC,$10.75 M,271.43,$0.00,N/A
STUD,$31.63 M,N/A,$-0.02,N/A
SDI,$51.43 M,4.97,$0.05,N/A
SLI,$785.59 M,N/A,$-0.13,N/A
SMA,$5.71 M,11.98,$0.07,N/A
STND,$6.37 M,N/A,$-0.02,N/A
STN,$8.81 B,32.30,$2.41,1.00%
DIAM,$38.08 M,N/A,$-0.14,N/A
SNA,$33.76 M,N/A,$-0.01,N/A
STRR,$28.57 M,1.27,$0.30,N/A
STRR.WT,N/A,N/A,N/A,N/A
SAM,$9.74 M,N/A,$-0.03,N/A
STE,$23.69 M,N/A,$-0.21,N/A
STX,$18.43 M,N/A,$-0.11,N/A
STMN,N/A,N/A,N/A,N/A
STPH,$1.22 M,N/A,$-0.03,N/A
STER,$33.90 M,N/A,$-0.27,N/A
STLC,$2.46 B,4.22,$10.19,3.91%
SJ,$3.66 B,14.30,$4.21,1.53%
SPX,$4.45 M,N/A,$-0.01,N/A
STH,$13.15 M,N/A,$-0.01,N/A
STEM,$4.33 M,N/A,$-0.09,N/A
STEP,$237.77 M,2.21,$1.46,N/A
STGO,$68.16 M,2.57,$0.39,N/A
SAG,$8.17 M,N/A,$-0.03,N/A
SX,$36.12 M,N/A,$-0.03,N/A
PGE,$33.70 M,N/A,$-0.03,N/A
RAY.A,$407.35 M,13.23,$0.43,5.31%
RAY.B,$408.10 M,13.35,$0.43,5.26%
PUMP,$6.25 M,N/A,$0.00,N/A
SVI,$2.26 B,N/A,$-0.09,0.19%
STRM,$5.61 M,N/A,$-0.19,N/A
ST,$3.18 M,N/A,$-0.06,N/A
SB,$7.10 M,N/A,$-0.02,N/A
SMD,$29.96 M,N/A,$-0.03,N/A
SR,$28.45 M,N/A,$-0.17,N/A
STGX,N/A,N/A,N/A,N/A
SUU,$18.64 M,N/A,$-0.11,N/A
SRA,$5.19 M,N/A,$-0.08,N/A
SKP,$11.40 M,N/A,$-0.01,N/A
SDR,$2.75 M,N/A,$-0.03,N/A
STUV,"$453,600",N/A,$-0.01,N/A
SMC,$5.77 M,N/A,$-0.10,N/A
SSVR,$54.43 M,N/A,$-0.04,N/A
SLF,$39.39 B,13.07,$5.12,4.48%
SLF.PRG,N/A,N/A,N/A,3.67%
SLF.PRH,N/A,N/A,N/A,4.86%
SLF.PRC,N/A,N/A,N/A,5.85%
SLF.PRD,N/A,N/A,N/A,5.91%
SLF.PRE,N/A,N/A,N/A,5.84%
SLF.PRJ,N/A,N/A,N/A,8.26%
SLF.PRK,N/A,N/A,N/A,8.10%
SRES,$12.20 M,3.59,$0.02,6.33%
SMN,$7.75 M,N/A,$-0.06,N/A
SU,$51.33 B,6.60,$5.96,5.29%
SOY,$1.19 B,N/A,$-0.14,N/A
SAI.H,"$720,062",N/A,$0.00,N/A
SPZ,$1.62 M,N/A,$-0.61,N/A
SGI,$25.92 M,N/A,$-0.15,N/A
SUI,$14.41 M,N/A,$0.00,N/A
SPB,$2.07 B,N/A,$-0.66,7.01%
SUPR,$2.21 M,N/A,$-0.07,N/A
SXP,$143.13 M,4.52,$1.21,2.55%
NILI,$40.65 M,N/A,$-0.03,N/A
SURG,$20.34 M,N/A,$-0.01,N/A
SGY,$736.87 M,2.63,$3.04,6.02%
PWI.PRA,$26.31 M,N/A,N/A,5.27%
SWRM,$9.39 M,N/A,$-0.09,N/A
SE,"$280,296",N/A,N/A,N/A
SWP,$25.65 M,86.10,$0.03,N/A
SWIM,$2.47 M,N/A,$-0.03,N/A
SYG,$3.42 M,N/A,$-0.13,N/A
SYZ,$145.65 M,73.99,$0.08,0.66%
SXI,$7.45 M,N/A,$-0.44,N/A
TWO,$7.80 M,N/A,$-0.03,N/A
TAAT,$17.39 M,N/A,$-0.19,N/A
RARE,$3.95 M,N/A,$-0.17,N/A
TAO,$113.64 M,N/A,$-0.01,N/A
TBL,$287.74 M,4.77,$0.58,N/A
TAIG,$39.72 M,N/A,$-2.00,N/A
TAIG.WT,N/A,N/A,N/A,N/A
TAJ,$5.03 M,N/A,$-0.03,N/A
TSK,$51.85 M,N/A,$-0.04,N/A
TLO,$250.50 M,N/A,$0.00,N/A
TVE,$1.99 B,5.12,$0.71,4.16%
TANA,"$696,250",N/A,$-0.02,N/A
GRID,$37.91 M,N/A,$-0.15,N/A
TRG,$4.17 M,N/A,$-0.08,N/A
TRO,$13.28 M,N/A,$0.00,N/A
TEX,$18.72 M,N/A,$-0.02,N/A
TMS.H,$1.28 M,N/A,$0.00,N/A
TN,$15.43 M,N/A,$-0.06,N/A
TKO,$545.11 M,N/A,$-0.09,N/A
TAUR,$3.50 M,N/A,$-0.02,N/A
TRP,$54.36 B,33.69,$1.61,6.87%
TRP.PRI,N/A,N/A,N/A,9.13%
TRP.PRG,N/A,N/A,N/A,5.40%
TRP.PRH,N/A,N/A,N/A,11.22%
TRP.PRF,N/A,N/A,N/A,10.85%
TRP.PRE,N/A,N/A,N/A,6.46%
TRP.PRA,N/A,N/A,N/A,6.53%
TRP.PRB,N/A,N/A,N/A,4.21%
TRP.PRC,N/A,N/A,N/A,4.52%
TDG,$27.53 M,N/A,$-0.08,N/A
TEA,$18.45 M,N/A,$-0.03,N/A
TECK.B,$29.76 B,10.09,$5.41,0.92%
TCS,$378.67 M,89.29,$0.29,1.16%
TECT,$19.09 M,N/A,$-0.02,N/A
TSAT,$331.35 M,N/A,$-2.82,N/A
TELI,$7.94 M,N/A,$-0.04,N/A
TELO,$16.75 M,N/A,$-0.04,N/A
TIXT,$6.05 B,27.63,$0.79,N/A
TMAS,$1.41 M,N/A,$-0.05,N/A
TEM,$18.83 M,N/A,$-0.03,N/A
TEMP,$5.94 M,N/A,$-0.01,N/A
TMRR,$8.23 M,N/A,$-0.01,N/A
TNZ,$68.09 M,14.92,$0.16,N/A
PKK,$36.83 M,N/A,$-0.54,N/A
TPC,$6.38 M,N/A,$-0.07,N/A
TGO,$45.83 M,N/A,$-0.87,N/A
TERA,$3.38 M,N/A,$-0.05,N/A
TZR.H,"$502,349",0.30,$0.22,N/A
TEQ,$1.38 M,N/A,$-0.07,N/A
TER,$770.97 M,N/A,$-1.74,N/A
TVK,$499.33 M,10.89,$2.59,1.77%
TES,$2.18 M,N/A,$0.00,N/A
TPL,$67.76 M,9.82,$0.07,18.46%
TUO,$80.29 M,N/A,$-0.18,N/A
TEVO,$2.25 M,N/A,$-0.04,N/A
TFII,$12.74 B,12.93,$11.47,1.28%
THC,$5.74 M,N/A,$-0.02,N/A
TLT,$52.38 M,N/A,$-0.03,N/A
TSAT,$331.35 M,N/A,$-2.82,N/A
TELI,$7.94 M,N/A,$-0.04,N/A
TELO,$16.75 M,N/A,$-0.04,N/A
T,$39.37 B,26.20,$1.03,5.40%
TIXT,$6.05 B,27.63,$0.79,N/A
TMAS,$1.41 M,N/A,$-0.05,N/A
TEM,$18.83 M,N/A,$-0.03,N/A
TEMP,$5.94 M,N/A,$-0.01,N/A
TMRR,$8.23 M,N/A,$-0.01,N/A
TNZ,$68.09 M,14.92,$0.16,N/A
PKK,$36.83 M,N/A,$-0.54,N/A
TPC,$6.38 M,N/A,$-0.07,N/A
TGO,$45.83 M,N/A,$-0.87,N/A
TRA,$2.51 M,N/A,$-0.06,N/A
TERA,$3.38 M,N/A,$-0.05,N/A
TII,$34.17 M,15.71,$0.35,4.36%
TZR.H,"$502,349",0.30,$0.22,N/A
TEQ,$1.38 M,N/A,$-0.07,N/A
TER,$770.97 M,N/A,$-1.74,N/A
TVK,$499.33 M,10.89,$2.59,1.77%
TES,$2.18 M,N/A,$0.00,N/A
TPL,$67.76 M,9.82,$0.07,18.46%
TUO,$80.29 M,N/A,$-0.18,N/A
TEVO,$2.25 M,N/A,$-0.04,N/A
TFII,$12.74 B,12.93,$11.47,1.28%
THC,$5.74 M,N/A,$-0.02,N/A
TLT,$52.38 M,N/A,$-0.03,N/A
TLT.WT,N/A,N/A,N/A,N/A
TH,$118.10 M,N/A,$-0.66,N/A
THRM,$13.17 M,N/A,$-0.01,N/A
TMG,$17.23 M,N/A,$0.00,N/A
THNK,$22.20 M,N/A,$-0.43,N/A
THNC,$181.25 M,N/A,$-0.52,N/A
TTI,$23.88 M,N/A,$-0.25,N/A
TRI,$80.27 B,51.56,$3.26,1.58%
TRI.PRB,N/A,N/A,N/A,6.70%
THX,$189.90 M,5.69,$0.05,N/A
TVC.H,$2.81 M,N/A,$-0.07,N/A
IDK,$11.43 M,N/A,$-0.36,N/A
TBRD,$181.65 M,"35,600.00",$0.00,N/A
AWE,$5.33 M,N/A,$-0.03,N/A
TWM,$382.12 M,N/A,$-0.14,4.40%
TWM.WT,N/A,N/A,N/A,N/A
LCFS,$287.07 M,N/A,$-0.38,N/A
TLP.UT,$13.64 M,N/A,$-0.73,N/A
TSLV,$27.91 M,N/A,$-0.06,N/A
TIDL,$6.24 M,N/A,$-0.06,N/A
TLRY,$2.01 B,N/A,$-4.03,N/A
TF,$627.29 M,10.29,$0.72,9.29%
TBR,$16.91 M,N/A,$-0.04,N/A
TK,$48.91 M,N/A,$0.00,N/A
TNY,$6.03 M,N/A,$-0.04,N/A
TORC,$8.84 M,N/A,$-0.04,N/A
TTS,"$918,099",0.10,$0.20,N/A
TINY,$804.60 M,N/A,$-0.55,N/A
TCEC,$8.56 M,N/A,$-0.05,N/A
TLA,$15.41 M,8.44,$0.07,N/A
TMD,$23.50 M,N/A,$-0.24,N/A
TI,$68.10 M,20.25,$0.02,8.33%
TTNM,$117.18 M,5.23,$0.50,3.08%
X,$8.18 B,22.33,$6.51,2.39%
TNR,$10.50 M,N/A,$0.00,N/A
TOC,$22.27 M,N/A,$-0.07,N/A
LOT,$3.59 M,N/A,$-0.02,N/A
TBLL,$1.31 M,N/A,$-0.01,N/A
TXT.PRA,N/A,N/A,N/A,6.97%
TPZ,$2.98 B,31.36,$0.66,5.66%
TOI,$8.02 B,162.58,$0.59,N/A
TGH,$73.37 M,30.00,$0.02,N/A
TIH,$9.27 B,19.15,$5.91,1.52%
TD,$149.87 B,10.01,$8.27,4.47%
TD.PFM,N/A,N/A,N/A,5.42%
TD.PFI,N/A,N/A,N/A,6.41%
TD.PFL,N/A,N/A,N/A,5.64%
TD.PFK,N/A,N/A,N/A,5.75%
TD.PFA,N/A,N/A,N/A,5.61%
TD.PFB,N/A,N/A,N/A,5.55%
TD.PFD,N/A,N/A,N/A,4.60%
TD.PFC,N/A,N/A,N/A,5.94%
TD.PFE,N/A,N/A,N/A,4.63%
TORQ,$47.46 M,N/A,$-0.13,N/A
TORR,$18.75 M,N/A,$-0.22,N/A
TGLD,$1.99 M,N/A,$-0.06,N/A
TOT,$367.05 M,6.44,$1.40,3.55%
TOH,$32.88 M,N/A,$-0.04,N/A
TOH.WT,N/A,N/A,N/A,N/A
TTZ,$7.41 M,17.88,$0.02,N/A
TOTC.P,"$548,160",N/A,N/A,N/A
TXP,$230.71 M,N/A,$-0.02,N/A
TOU,$20.51 B,6.67,$9.15,1.64%
TO,$7.16 M,N/A,$-0.05,N/A
TWR,$15.88 M,N/A,$0.00,N/A
TRAC,$23.17 M,N/A,$-0.29,N/A
BLAZ.P,N/A,N/A,N/A,N/A
TBK,$2.29 M,N/A,$-0.03,N/A
TTG,$1.72 M,N/A,$-0.01,N/A
TA,$3.51 B,31.39,$0.42,1.67%
TA.PRG,N/A,N/A,N/A,8.21%
TA.PRE,N/A,N/A,N/A,8.83%
TA.PRJ,N/A,N/A,N/A,6.41%
TA.PRD,N/A,N/A,N/A,5.64%
TA.PRF,N/A,N/A,N/A,8.06%
TA.PRH,N/A,N/A,N/A,8.09%
RNW,$3.41 B,43.91,$0.29,7.33%
TCL.A,$1.31 B,10.42,$1.43,6.04%
TCL.B,$1.31 B,10.50,$1.43,6.00%
TFM,"$181,309",5.26,$0.01,N/A
XTM,$4.30 M,N/A,$-0.08,N/A
TOP.P,N/A,N/A,N/A,N/A
TML,$42.93 M,N/A,$-0.18,N/A
TML.WT,N/A,N/A,N/A,N/A
TRUE,$4.30 M,N/A,$-0.06,N/A
TSL,$95.40 M,3.62,$0.92,3.59%
TMC,$8.32 M,N/A,$0.00,N/A
TRS,$1.84 M,6.35,$0.01,N/A
TRBE,$25.46 M,N/A,$-0.50,N/A
TRBC,$7.95 M,N/A,$-0.02,N/A
TCW,$735.05 M,6.90,$0.47,4.92%
TCN,$2.96 B,3.88,$2.80,2.92%
TG,$3.20 M,N/A,$-0.01,N/A
TM,$35.86 M,N/A,$-0.07,N/A
TCF,$152.45 M,N/A,$-0.03,N/A
TCF.WT,N/A,N/A,N/A,N/A
TGM,$7.58 M,N/A,$-0.21,N/A
TRL.H,$24.37 M,0.04,$6.67,N/A
TMQ,$111.72 M,N/A,$-0.22,N/A
TFPM,$3.96 B,42.65,$0.45,1.42%
TONE,$1.60 M,N/A,$-0.02,N/A
KETA,N/A,N/A,N/A,N/A
TSG,$36.99 M,N/A,$-0.01,N/A
TSU,$1.62 B,84.08,$0.41,N/A
TIG,$10.40 M,N/A,$-0.11,N/A
TLG,$119.99 M,20.91,$0.03,N/A
TGII,$3.91 M,N/A,$-0.01,N/A
TR,"$755,807",N/A,$-0.02,N/A
TROY,$6.08 M,N/A,N/A,N/A
TRU,$3.22 M,N/A,$-0.05,N/A
TNT.UT,$239.47 M,27.79,$0.10,11.25%
TGX,$2.05 M,N/A,$-0.03,N/A
TRUL,$1.06 B,N/A,$-1.96,N/A
TBIX,$2.16 M,N/A,$-0.07,N/A
TTT,"$763,469",N/A,$-0.01,N/A
TNX,$191.10 M,N/A,$0.00,N/A
TRYP,$7.23 M,N/A,$-0.06,N/A
TSD,$10.96 M,N/A,$-0.05,N/A
TC,$449.21 M,N/A,$-5.41,N/A
TUD,$295.30 M,N/A,$-0.04,N/A
TUGA,$2.67 M,N/A,$-0.11,N/A
TUK,$4.40 M,N/A,$-0.05,N/A
TBX,$17.14 M,N/A,$-0.06,N/A
GYM,$1.02 M,N/A,$-0.06,N/A
TVA.B,$64.38 M,N/A,$-0.45,N/A
TVI,$13.14 M,N/A,$0.00,N/A
TWC,$442.99 M,38.07,$0.47,1.11%
TWOH,"$262,642",N/A,$-0.27,N/A
TYMB,"$538,263",N/A,$-0.01,N/A
TIP.H,"$465,337",N/A,$-0.02,N/A
USCU,$7.29 M,N/A,$-0.01,N/A
USCM,$13.64 M,N/A,N/A,N/A
UBQ,$10.54 M,N/A,$-0.04,N/A
UCU,$58.39 M,N/A,$-0.11,N/A
UGE,$39.45 M,N/A,$-0.30,N/A
ULTA,"$254,187",N/A,$-0.18,N/A
ULT,$10.12 M,N/A,$-0.01,N/A
UDOC,$6.56 M,N/A,$-0.31,N/A
UGD,$12.45 M,N/A,$-0.04,N/A
UNS,$2.03 B,23.81,$1.97,N/A
USS,$3.62 M,112.50,$0.00,N/A
UNI,$33.27 M,N/A,$-0.07,N/A
ULTH,$15.70 M,N/A,$-0.05,N/A
UNV,$1.78 M,N/A,$-0.02,N/A
IBO,$3.15 M,N/A,$-0.04,N/A
UPI,$1.97 M,1.58,$0.03,N/A
UP,$1.34 M,N/A,$0.00,N/A
URC.WT,N/A,N/A,N/A,N/A
URB,$162.24 M,N/A,$-0.15,2.76%
URB.A,$158.60 M,N/A,$-0.15,2.82%
UFC,$44.27 M,6.84,$0.12,5.88%
UI,$2.61 M,N/A,$-0.05,N/A
URE,$341.50 M,N/A,$-0.06,N/A
UGH,N/A,N/A,N/A,N/A
FTU.PRB,N/A,N/A,N/A,11.04%
USHA,$9.80 M,N/A,$-0.08,N/A
VZZ,$6.92 M,N/A,$-0.01,N/A
VPH,$33.32 M,N/A,$-0.31,N/A
VLE,$203.16 M,0.78,$2.64,N/A
VMXX,$13.83 M,N/A,N/A,N/A
VO,$26.89 M,N/A,$-0.12,N/A
VEC.H,$1.27 M,N/A,$0.00,N/A
VRB,$4.73 M,N/A,$-0.02,N/A
VSR,$21.33 M,N/A,$-0.03,N/A
VCV,$3.53 M,N/A,$-0.05,N/A
VXL,$2.74 M,N/A,$0.00,N/A
VLN,$276.08 M,N/A,$-3.43,0.47%
VLC,$25.64 M,N/A,$-0.02,N/A
VTT,$18.06 M,N/A,$-0.01,N/A
VPT,$24.31 M,N/A,$-0.03,N/A
VENZ,$2.46 M,N/A,$-0.01,N/A
VRNO,$1.36 B,N/A,$-1.11,N/A
NPK,$115.70 M,9.31,$0.28,N/A
VER.H,"$491,070",0.39,$0.04,N/A
VET,$2.66 B,1.94,$8.44,2.20%
VBNK,$231.80 M,9.59,$0.94,1.11%
VBNK.PRA,N/A,N/A,N/A,7.02%
VTX,$45.67 M,11.22,$0.04,N/A
VERT,$5.55 M,N/A,$0.00,N/A
MJMJ,$1.43 M,N/A,$-0.15,N/A
FORA,$78.21 M,N/A,$-1.07,N/A
VCC.P,"$393,750",N/A,$-0.01,N/A
VEXT,$38.48 M,2.42,$0.11,N/A
VMC,$52.06 M,N/A,$-0.57,N/A
VGCX,$565.29 M,27.15,$0.32,N/A
VR,$2.98 M,N/A,$-0.03,N/A
VMD,$544.29 M,65.70,$0.20,N/A
VIN,$1.57 M,N/A,$-0.01,N/A
VIO,$14.80 M,N/A,$-0.01,N/A
VIP,$2.15 M,N/A,N/A,N/A
VQS,$10.39 M,N/A,$-0.42,N/A
VGD,$4.23 M,N/A,$-0.12,N/A
VLI,$20.96 M,N/A,$-0.01,N/A
VIZ,$5.65 M,N/A,$-0.02,N/A
VIS,$2.21 M,N/A,$-0.01,N/A
VGZ,$99.64 M,N/A,$-0.07,N/A
VBAM,N/A,N/A,N/A,N/A
VUX,$23.44 M,5.06,$0.06,N/A
VHI,$111.70 M,N/A,$0.00,N/A
VPI,$2.07 M,N/A,$-0.01,N/A
VCI,$33.37 M,14.81,$0.37,N/A
VAU,$16.52 M,N/A,$-0.05,N/A
VCU,$15.49 M,N/A,$-0.11,N/A
VZLA,$302.70 M,N/A,$-0.03,N/A
VOL,$16.54 M,N/A,$-0.07,N/A
VOL.WTA,N/A,N/A,N/A,N/A
VC,"$694,972",N/A,$-0.20,N/A
VG,$8.65 M,N/A,$-0.06,N/A
VCT,$12.61 M,N/A,$-0.02,N/A
VLT,$45.10 M,N/A,$-0.05,N/A
VOLT,$2.54 M,N/A,$-0.02,N/A
VRTX,$20.81 M,N/A,N/A,N/A
VMS,$4.39 M,N/A,$-0.08,N/A
VXTR,$107.06 M,N/A,$-0.06,N/A
VONE,$12.55 M,N/A,$-0.04,N/A
VOY,$16.13 M,N/A,$-0.02,N/A
VPN,$5.01 M,N/A,$-0.01,N/A
VRR,$21.38 M,N/A,$-0.02,N/A
VSBY,$27.80 M,N/A,$-0.08,N/A
VSBY.WT,N/A,N/A,N/A,N/A
VUL,$26.79 M,N/A,$-0.02,N/A
VVC,$39.11 M,N/A,$-0.02,N/A
WJX,$479.17 M,6.87,$3.33,5.77%
WRR,$5.49 M,N/A,$-0.05,N/A
WFC,$649.07 M,13.46,$1.49,N/A
WM,$127.95 M,N/A,$-0.04,N/A
WBGD,$10.14 M,N/A,$-0.01,N/A
WRI,$1.25 M,N/A,$0.00,N/A
WOGC,"$791,812",N/A,$-0.02,N/A
WCN,$48.81 B,42.52,$4.37,0.75%
WWT,$12.62 M,7.52,$0.01,N/A
WAVE,$1.62 M,N/A,$-0.01,N/A
WML,$118.16 M,N/A,$0.00,N/A
WDGY,$4.52 M,N/A,$-0.05,N/A
GRUV,N/A,N/A,N/A,N/A
WELL,$1.05 B,N/A,$-0.02,N/A
WFLD,$38.16 M,N/A,$-0.36,N/A
WFLD.WT,N/A,N/A,N/A,N/A
WESA,$1.46 M,N/A,$-0.36,N/A
WCE,$2.69 M,15.85,$0.00,N/A
WGF,$2.00 M,N/A,$0.00,N/A
WDO,$1.24 B,N/A,$-0.15,N/A
WFG,$8.51 B,9.28,$10.75,1.63%
WHY,$33.61 M,N/A,$-0.05,N/A
WEST,$1.82 M,N/A,$-0.05,N/A
WRLG,$35.42 M,N/A,$-0.01,N/A
WVM,$55.19 M,N/A,$-0.03,N/A
WED,$458.09 M,3.21,$1.02,N/A
WBE,$8.37 M,11.43,$0.02,7.84%
WEB,$101.74 M,N/A,$-0.02,N/A
WAM,$45.16 M,N/A,$-0.18,N/A
WA,$2.33 M,N/A,$-0.01,N/A
WRN,$340.87 M,N/A,$-0.03,N/A
WRG,$87.99 M,1.17,$2.21,N/A
WEX,$25.21 M,N/A,$-0.23,N/A
WEF,$348.42 M,62.35,$0.02,4.72%
WGLD,$3.72 M,N/A,$-0.08,N/A
WI,$12.12 M,N/A,$-0.01,N/A
WMS,$2.82 M,N/A,N/A,N/A
WP,$3.81 M,6.71,$0.02,N/A
WSR,N/A,N/A,N/A,N/A
WUC,$47.09 M,N/A,$-0.03,N/A
WHN,$43.94 M,N/A,$-0.01,N/A
WKG,$1.93 M,N/A,$0.00,N/A
WMC,N/A,N/A,N/A,N/A
WPRT,$166.16 M,N/A,$-0.39,N/A
WGO,$54.60 M,N/A,$-0.01,N/A
WCP,$6.17 B,4.92,$2.09,5.64%
WMK,$39.66 M,N/A,$0.00,N/A
WWA.P,N/A,N/A,N/A,N/A
YTY,$3.82 M,N/A,$-0.01,N/A
WILD,$330.31 M,N/A,$-0.02,N/A
CANS,$13.07 M,N/A,$-0.32,N/A
WSK,$5.75 M,N/A,$-0.27,N/A
WLLW,$14.85 M,N/A,$-0.13,N/A
WCM.B,$57.26 M,61.83,$0.10,N/A
WIL,$48.90 M,N/A,$-0.02,N/A
WIN,$10.69 M,N/A,$-0.01,N/A
WPK,$3.01 B,16.88,$2.73,0.26%
WINS,$7.97 M,N/A,$-0.01,N/A
WISH,$31.20 M,N/A,$-0.03,N/A
WITT.P,N/A,N/A,N/A,N/A
WLF,$23.85 M,N/A,$-0.02,N/A
WNDR,$24.38 M,N/A,$-0.63,N/A
WNDR.WTA,N/A,N/A,N/A,N/A
WCU,$18.94 M,N/A,$-0.17,N/A
WFS.PRA,N/A,N/A,N/A,5.77%
WSM.X,"$336,645",N/A,$0.00,N/A
WSP,$21.77 B,47.40,$3.67,0.86%
XONE,"$713,662",N/A,$-0.10,N/A
XGC,$7.66 M,N/A,$-0.01,N/A
XAM,$75.12 M,N/A,$0.00,N/A
XND,"$702,662",N/A,$-0.05,N/A
GIG,"$576,194",N/A,$-0.09,N/A
XRI,N/A,N/A,N/A,N/A
XBRA,$3.15 M,N/A,$-0.17,N/A
XIGM,"$995,595",N/A,$-1.08,N/A
XIM,$15.61 M,N/A,$-0.05,N/A
XRTX,$19.79 M,N/A,$-0.58,N/A
XPLR,$1.23 M,N/A,$0.00,N/A
VRAR,$2.71 M,N/A,$-0.08,N/A
XSF,$3.78 M,N/A,$-0.08,N/A
XTT,$10.86 M,N/A,$-0.02,N/A
XTRA,$199.01 M,N/A,$-0.28,N/A
XTG,$38.55 M,115.94,$0.01,N/A
XL,$2.10 M,N/A,$-0.26,N/A
YOO,$3.11 M,1.38,$0.03,N/A
YGR,$153.91 M,1.68,$1.06,N/A
Y,$235.10 M,3.69,$3.41,6.35%
YY,$1.53 M,N/A,$-0.02,N/A
YNV,$11.22 M,N/A,$-0.04,N/A
YRB,$19.57 M,N/A,$-0.01,N/A
YORK,$20.62 M,N/A,$-0.06,N/A
YEG,$8.41 M,N/A,$0.00,N/A
TYUM,$15.12 M,N/A,$-0.30,N/A
ZACA,$2.55 M,N/A,$-0.23,N/A
ZAC,$29.48 M,N/A,$-0.16,N/A
ZBNI,$2.72 M,N/A,$-0.02,N/A
ZDC,$42.54 M,6.98,$0.08,N/A
ZEN,$212.01 M,N/A,$-0.17,N/A
ZFR,$7.04 M,N/A,$-0.01,N/A
ZEU,"$882,943",N/A,$-0.11,N/A
ZC,$2.49 M,N/A,$-0.37,N/A
Z.H,"$387,914",N/A,$-0.03,N/A
ZAIR,$14.63 M,N/A,$-0.07,N/A
ZNC.H,$1.34 M,0.29,$0.24,N/A
ZNX,$16.90 M,N/A,$0.00,N/A
ZOG,$2.61 M,N/A,$-0.05,N/A
ZONE,$4.13 M,N/A,$-0.01,N/A
ZUM,$12.31 M,225.00,$0.00,N/A
ZTE,"$800,616",N/A,$0.00,N/A
